cpd_id	atom	marvin_pka	molgpka_pka	abs_diff	type	functional_group	diff	change_category	est_dg_shift_kj
cpd00019	24	1.81	2.3082637786865234	0.4982637786865234	A	carboxylic_acid_or_ester	0.4982637786865234	Small (<0.5)	2.844093487930779
cpd00019	6	12.47	9.974608421325684	2.495391578674317	A	alcohol_or_phenol	-2.495391578674317	Large (2.0-5.0)	14.243714358394095
cpd00019	12	-1.05	5.259882926940918	6.309882926940918	B	aromatic_n	6.309882926940918	Very large (>5.0)	36.01686036545858
cpd00019	14	-7.46	4.853107452392578	12.31310745239258	B	aromatic_n	12.313107452392579	Very large (>5.0)	70.28331221237308
cpd00019	16	3.94	5.839999198913574	1.8999991989135745	B	aromatic_n	1.8999991989135743	Moderate (0.5-2.0)	10.845210067142997
cpd00019	25	9.5	8.827926635742188	0.6720733642578125	B	tertiary_amine	-0.6720733642578125	Moderate (0.5-2.0)	3.836199941597468
cpd00020	4	2.93	2.63966965675354	0.2903303432464601	A	carboxylic_acid_or_ester	-0.2903303432464601	Small (<0.5)	1.6572078362843647
cpd00022	34	0.92	1.793295979499817	0.8732959794998169	A	phosphate	0.8732959794998169	Moderate (0.5-2.0)	4.9847801798456075
cpd00022	35	5.94	1.7932957410812378	4.146704258918763	A	phosphate	-4.146704258918763	Large (2.0-5.0)	23.669419860811292
cpd00022	31	12.61	9.674649238586426	2.9353507614135737	A	alcohol_or_phenol	-2.9353507614135737	Large (2.0-5.0)	16.755004763413275
cpd00022	41	-1.06	3.553389549255371	4.613389549255372	B	aromatic_n	4.613389549255372	Large (2.0-5.0)	26.333263093924344
cpd00022	43	4.89	4.175509452819824	0.7144905471801755	B	aromatic_n	-0.7144905471801755	Moderate (0.5-2.0)	4.078317548548302
cpd00022	45	-7.46	3.728136539459229	11.18813653945923	B	aromatic_n	11.18813653945923	Very large (>5.0)	63.86196957330031
cpd00023	6	1.88	2.319209575653076	0.4392095756530763	A	carboxylic_acid_or_ester	0.4392095756530763	Small (<0.5)	2.507011641995443
cpd00023	9	4.27	2.2008249759674072	2.0691750240325923	A	carboxylic_acid_or_ester	-2.0691750240325923	Large (2.0-5.0)	11.810866980444388
cpd00023	4	9.54	9.343445777893066	0.1965542221069327	B	tertiary_amine	-0.19655422210693274	Small (<0.5)	1.121933014262566
cpd00024	6	2.66	2.4274771213531494	0.2325228786468507	A	carboxylic_acid_or_ester	-0.23252287864685073	Small (<0.5)	1.3272423829356583
cpd00024	10	3.87	3.225414037704468	0.6445859622955323	A	carboxylic_acid_or_ester	-0.6445859622955319	Moderate (0.5-2.0)	3.679301639402717
cpd00026	9	12.66	11.125814437866213	1.5341855621337892	A	alcohol_or_phenol	-1.5341855621337874	Moderate (0.5-2.0)	8.757143009761684
cpd00026	10	9.7	8.39021110534668	1.3097888946533196	A	aromatic_n	-1.3097888946533196	Moderate (0.5-2.0)	7.476285102777258
cpd00026	14	14.05	10.782337188720703	3.2676628112792976	A	alcohol_or_phenol	-3.2676628112792976	Large (2.0-5.0)	18.651844504554983
cpd00026	31	12.07	9.38247013092041	2.68752986907959	A	alcohol_or_phenol	-2.68752986907959	Large (2.0-5.0)	15.340441200478253
cpd00026	34	14.82	10.713266372680664	4.106733627319336	A	alcohol_or_phenol	-4.106733627319336	Large (2.0-5.0)	23.44126718766278
cpd00026	35	13.26	11.145761489868164	2.114238510131836	A	alcohol_or_phenol	-2.1142385101318357	Large (2.0-5.0)	12.068089706318972
cpd00027	6	12.69	11.843771934509276	0.8462280654907222	A	alcohol_or_phenol	-0.8462280654907239	Moderate (0.5-2.0)	4.830276318119849
cpd00027	8	15.12	12.02912139892578	3.090878601074218	A	alcohol_or_phenol	-3.0908786010742197	Large (2.0-5.0)	17.642758870558744
cpd00027	10	14.51	12.121807098388672	2.388192901611328	A	alcohol_or_phenol	-2.388192901611328	Large (2.0-5.0)	13.631823483738614
cpd00027	11	11.3	12.22764778137207	0.9276477813720696	A	alcohol_or_phenol	0.9276477813720696	Moderate (0.5-2.0)	5.295020683720225
cpd00027	12	13.58	12.072749137878418	1.507250862121582	A	alcohol_or_phenol	-1.507250862121582	Moderate (0.5-2.0)	8.603399534556592
cpd00029	3	4.54	4.468795776367188	0.0712042236328125	A	carboxylic_acid_or_ester	-0.07120422363281165	Small (<0.5)	0.40643425713402404
cpd00031	26	1.79	1.102606177330017	0.687393822669983	A	phosphate	-0.687393822669983	Moderate (0.5-2.0)	3.923649236260289
cpd00031	27	7.42	1.1026062965393066	6.317393703460693	A	phosphate	-6.317393703460693	Very large (>5.0)	36.059731935704974
