rxn_id	old_dg	new_dg	diff	abs_diff	old_model_only	new_model_only	old_pH_correction	new_pH_correction	pH_correction_diff
rxn00037	-282.8105663042915	-282.99898455846443	-0.18841825417291602	0.18841825417291602	-365.74921642396197	-365.74921642396197	82.93865011967046	82.75023186549754	-0.18841825417291602
rxn00038	-35.25424678904595	-35.25058560046726	0.003661188578689689	0.003661188578689689	6.304190165267656	6.304190165267656	-41.558436954313606	-41.55477576573492	0.003661188578689689
rxn00039	-6.759653067253396	-6.7233689698738885	0.03628409737950733	0.03628409737950733	-6.736972685163494	-6.736972685163494	-0.022680382089902196	0.013603715289605134	0.03628409737950733
rxn00040	-95.93585598168069	-96.47855174366522	-0.5426957619845325	0.5426957619845325	-54.97800091224225	-54.97800091224225	-40.95785506943844	-41.50055083142297	-0.5426957619845325
rxn00041	-111.56357328803058	-111.84397084254972	-0.2803975545191406	0.2803975545191406	-70.18481426522449	-70.18481426522449	-41.37875902280609	-41.659156577325234	-0.2803975545191406
rxn00042	-385.28676404353547	-385.2867516772971	1.2366238365757454e-05	1.2366238365757454e-05	-385.28676394759606	-385.28676394759606	-9.593941285857e-08	1.2270298952898884e-05	1.2366238365757454e-05
rxn00043	-704.3073349251633	-704.3406846235716	-0.033349698408301265	0.033349698408301265	-704.3506883269624	-704.3506883269624	0.043353401799151925	0.01000370339085066	-0.033349698408301265
rxn00044	0.4550257798637318	0.4619901633768819	0.006964383513150096	0.006964383513150096	0.4808120334710253	0.4808120334710253	-0.025786253607293474	-0.018821870094143378	0.006964383513150096
rxn00045	3.781329178309534e-05	0.0001602689480932895	0.00012245565631019417	0.00012245565631019417	0.0	0.0	3.781329178309534e-05	0.0001602689480932895	0.00012245565631019417
rxn00046	3.9470918531124966	4.017863022587434	0.07077116947493778	0.07077116947493778	3.947433813238476	3.947433813238476	-0.0003419601259793126	0.07042920934895847	0.07077116947493778
rxn00047	-23.3905273340132	-23.418072654939124	-0.02754532092592399	0.02754532092592399	-25.010839568551546	-25.010839568551546	1.6203122345383463	1.5927669136124223	-0.02754532092592399
rxn00050	337.2765913185789	337.1373640992979	-0.1392272192809969	0.1392272192809969	337.07143322732827	337.07143322732827	0.2051580912506097	0.06593087196961278	-0.1392272192809969
rxn00051	-526.489355915177	-526.5915230639035	-0.1021671487264939	0.1021671487264939	-526.3745043015862	-526.3745043015862	-0.11485161359087215	-0.21701876231736605	-0.1021671487264939
rxn00052	-158.2882718398554	-158.30573492035083	-0.01746308049541767	0.01746308049541767	-118.42683062835957	-118.42683062835957	-39.861441211495844	-39.87890429199126	-0.01746308049541767
rxn00053	69.66128053268302	69.6591681327708	-0.002112399912221008	0.002112399912221008	69.66163718486304	69.66163718486304	-0.0003566521800166811	-0.002469052092237689	-0.002112399912221008
rxn00054	-1367.5128881409942	-1367.1840979978524	0.32879014314175947	0.32879014314175947	-1367.5541294167263	-1367.5541294167263	0.0412412757320908	0.3700314188737366	0.3287901431416458
rxn00055	-72.73565483270545	-26.948969750315086	45.78668508239036	45.78668508239036	89.3600708263092	89.3600708263092	-162.09572565901465	-116.30904057662428	45.78668508239036
rxn00056	-52.28626965299617	-52.28626965299617	0.0	0.0	-199.06969090320035	-199.06969090320035	146.78342125020419	146.78342125020419	0.0
rxn00057	-1316.7455521146085	-1316.812251511425	-0.06669939681660253	0.06669939681660253	-1316.8322467545177	-1316.8322467545177	0.08669463990929671	0.01999524309269418	-0.06669939681660253
rxn00060	-290.84829415069385	-286.7091017751952	4.139192375498624	4.139192375498624	-239.49656500472133	-239.49656500472133	-51.35172914597251	-47.21253677047389	4.139192375498624
rxn00061	-49.470750450282026	-52.64675868176221	-3.176008231480182	3.176008231480182	72.01612483651706	72.01612483651706	-121.48687528679909	-124.66288351827927	-3.176008231480182
rxn00062	-25.459409689877987	-26.175043300205324	-0.7156336103273375	0.7156336103273375	13.760450800885337	13.760450800885337	-39.219860490763324	-39.93549410109066	-0.7156336103273375
rxn00063	-33.70895506571185	-36.16748724652075	-2.458532180808902	2.458532180808902	48.56078597140731	48.56078597140731	-82.26974103711916	-84.72827321792806	-2.458532180808902
rxn00064	-24.631561541551946	-24.704560566758687	-0.07299902520674095	0.07299902520674095	-63.84602221434744	-63.84602221434744	39.2144606727955	39.141461647588756	-0.07299902520674095
rxn00065	7.930921479764351	5.30122079773659	-2.62970068202776	2.62970068202776	46.85801576446883	46.85801576446883	-38.92709428470448	-41.55679496673224	-2.62970068202776
rxn00066	-328.6187323522631	-328.55816922794565	0.060563124317468464	0.060563124317468464	-371.7298055357794	-371.7298055357794	43.11107318351628	43.17163630783375	0.060563124317468464
rxn00067	10.617117195019773	2.6412692679271004	-7.975847927092673	7.975847927092673	71.58629839907667	71.58629839907667	-60.969181204056895	-68.94502913114957	-7.975847927092673
rxn00068	205.17128530193747	205.11072217762	-0.060563124317468464	0.060563124317468464	174.89050402051643	174.89050402051643	30.280781281421042	30.220218157103574	-0.060563124317468464
rxn00069	48.53393120876788	48.477960378591405	-0.05597083017647719	0.05597083017647719	93.21348476836178	93.21348476836178	-44.6795535595939	-44.735524389770376	-0.05597083017647719
rxn00070	104.91632411381553	104.80970768923109	-0.10661642458444476	0.10661642458444476	63.09198281690939	63.09198281690939	41.82434129690614	41.717724872321696	-0.10661642458444476
rxn00072	536.3984430933385	620.2313058919442	83.83286279860567	83.83286279860567	579.5597741780891	579.5597741780891	-43.1613310847506	40.671531713855074	83.83286279860567
rxn00074	67.69602360812289	71.51350047769822	3.81747686957533	3.81747686957533	27.081617336190646	27.081617336190646	40.61440627193224	44.43188314150757	3.81747686957533
rxn00075	-25.449714337123325	-25.510771605220654	-0.06105726809732914	0.06105726809732914	17.663061614854158	17.663061614854158	-43.11277595197748	-43.17383322007481	-0.06105726809732914
rxn00076	-2.5895798216164394	-2.321944369773405	0.2676354518430344	0.2676354518430344	82.40353937999635	82.40353937999635	-84.99311920161279	-84.72548374976975	0.2676354518430344
rxn00077	-12.141385056068629	-13.465181242327702	-1.3237961862590737	1.3237961862590737	29.706079834128246	29.706079834128246	-41.847464890196875	-43.17126107645595	-1.3237961862590737
rxn00078	-15.415552619939575	-16.706032022221024	-1.2904794022814485	1.2904794022814485	29.706079834128246	29.706079834128246	-45.12163245406782	-46.41211185634927	-1.2904794022814485
rxn00080	-533.1242755294659	-616.9904551120505	-83.86617958258466	83.86617958258466	-579.5597741780891	-579.5597741780891	46.43549864862325	-37.43068093396141	-83.86617958258466
rxn00082	-282.52495725512307	-282.40622164682344	0.11873560829963026	0.11873560829963026	-87.49732756372025	-87.49732756372025	-195.0276296914028	-194.90889408310318	0.11873560829963026
